iter	MultiClass
0	0.9236178706
1	0.6245612452
2	0.4254689798
3	0.2921190499
4	0.2087667117
5	0.1551172023
6	0.1130292953
7	0.08774934352
8	0.06879757841
9	0.05847135577
10	0.04851851117
11	0.0394161459
12	0.03339813938
13	0.0294307634
14	0.02745393442
15	0.02258275857
16	0.02109095718
17	0.01935554337
18	0.016575046
19	0.01413109631
20	0.01224988961
21	0.01100530598
22	0.009933374076
23	0.008812500587
24	0.007894486233
25	0.007133334939
26	0.006494926195
27	0.005953699741
28	0.005490306879
29	0.005089942256
30	0.004741153597
31	0.004434987189
32	0.004164369787
33	0.003923657735
34	0.003708305098
35	0.003514617084
36	0.003339565109
37	0.003205711892
38	0.003058234454
39	0.002923422842
40	0.002799742082
41	0.002685891535
42	0.002629416804
43	0.002528362692
44	0.002434658144
45	0.002347539841
46	0.002307698577
47	0.002258304631
48	0.002210983246
49	0.002138417942
50	0.002081646237
51	0.002016957235
52	0.001978292192
53	0.001919620177
54	0.001873794365
55	0.00182090957
56	0.001770911535
57	0.001731775185
58	0.001686367867
59	0.001643272369
60	0.001602316735
61	0.001563345636
62	0.001545652823
63	0.001509299965
64	0.001474613251
65	0.001441480744
66	0.001409800312
67	0.001379478583
68	0.001350430021
69	0.001322576123
70	0.001306156978
71	0.001280052698
72	0.001254968968
73	0.001243385015
74	0.001219677412
75	0.001207573028
76	0.001185174149
77	0.001174844857
78	0.0011627948
79	0.001141975783
80	0.00113240513
81	0.001115968471
82	0.001105179624
83	0.001086299231
84	0.001068054506
85	0.001054568114
86	0.001037348349
87	0.00102068339
88	0.001004546728
89	0.0009889135216
90	0.0009737604709
91	0.0009590656988
92	0.0009448086433
93	0.0009309699596
94	0.0009175314313
95	0.0009044758884
96	0.0008967776981
97	0.000888841397
98	0.0008765672147
99	0.0008693673939
100	0.0008576144596
101	0.0008461758116
102	0.0008350389561
103	0.0008241920564
104	0.0008191359572
105	0.0008125156087
106	0.0008022291939
107	0.0007962029248
108	0.0007863175734
109	0.0007817233422
110	0.0007721868042
111	0.0007628809217
112	0.0007537973845
113	0.0007449282787
114	0.0007407916655
115	0.000735377326
116	0.0007269244414
117	0.0007186643846
118	0.0007105905968
119	0.0007058567795
120	0.000702144464
121	0.0006962587467
122	0.0006886652902
123	0.0006812364272
124	0.0006777811776
125	0.0006705808397
126	0.0006635325886
127	0.0006577864754
128	0.0006545678513
129	0.0006478429523
130	0.0006412555679
131	0.0006348014943
132	0.0006317987663
133	0.0006286352704
134	0.0006224265806
135	0.0006163400163
136	0.0006135100547
137	0.0006075935408
138	0.0006017906973
139	0.0005960982564
140	0.0005905130756
141	0.000587908808
142	0.0005824733749
143	0.0005799404867
144	0.0005767911323
145	0.0005743131226
146	0.0005691185857
147	0.0005640177678
148	0.0005590081362
149	0.000554087249
150	0.0005492527518
151	0.0005445023732
152	0.0005423435823
153	0.0005393256769
154	0.000536603782
155	0.0005344561044
156	0.0005299507
157	0.0005273281391
158	0.0005247766721
159	0.0005219676411
160	0.0005176648025
161	0.0005156708365
162	0.0005136945331
163	0.0005117356502
164	0.0005075945455
165	0.0005045589836
166	0.0005019720373
167	0.0004979835417
168	0.0004955579404
169	0.00049373945
170	0.0004898775983
171	0.0004879063324
172	0.0004854953264
173	0.000481758298
174	0.0004780789325
175	0.0004751049419
176	0.0004715247556
177	0.0004679986672
178	0.0004663769577
179	0.0004647682236
180	0.0004628043144
181	0.0004608261414
182	0.0004574530647
183	0.0004553407978
184	0.0004520464482
185	0.0004487999535
186	0.0004473121795
187	0.0004441323933
188	0.0004409979951
189	0.0004379080085
190	0.0004348614849
191	0.0004329502209
192	0.000429971358
193	0.0004270336431
194	0.0004253767213
195	0.0004237054778
196	0.000420850953
197	0.00041954037
198	0.0004182392404
199	0.0004154561124
